@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
3186,'2018/11/05 19:08:59:156',13,0.094488,0.826772,0.17,0.4,0.35
3187,'2018/11/05 19:08:59:176',13,0.094488,0.826772,0.17,0.4,0.35
3188,'2018/11/05 19:08:59:196',13,0.094488,0.826772,0.17,0.4,0.35
3189,'2018/11/05 19:08:59:216',13,0.094488,0.826772,0.17,0.4,0.35
3190,'2018/11/05 19:08:59:292',13,0.094488,0.826772,0.17,0.4,0.35
3191,'2018/11/05 19:08:59:313',13,0.094488,0.826772,0.17,0.4,0.35
3192,'2018/11/05 19:08:59:332',13,0.094488,0.826772,0.17,0.4,0.35
3193,'2018/11/05 19:08:59:352',13,0.094488,0.826772,0.17,0.4,0.35
3194,'2018/11/05 19:08:59:372',13,0.094488,0.826772,0.17,0.4,0.35
3195,'2018/11/05 19:08:59:392',13,0.094488,0.826772,0.17,0.4,0.35
3196,'2018/11/05 19:08:59:412',13,0.094488,0.826772,0.17,0.4,0.35
3197,'2018/11/05 19:08:59:432',13,0.094488,0.826772,0.17,0.4,0.35
3198,'2018/11/05 19:08:59:452',13,0.094488,0.826772,0.17,0.4,0.35
3199,'2018/11/05 19:08:59:472',13,0.094488,0.826772,0.17,0.4,0.35
3200,'2018/11/05 19:08:59:492',13,0.094488,0.826772,0.17,0.4,0.35
3201,'2018/11/05 19:08:59:512',13,0.094488,0.826772,0.17,0.4,0.35
3202,'2018/11/05 19:08:59:532',13,0.094488,0.826772,0.17,0.4,0.35
3203,'2018/11/05 19:08:59:552',13,0.094488,0.826772,0.17,0.4,0.35
3204,'2018/11/05 19:08:59:572',13,0.094488,0.826772,0.17,0.4,0.35
3205,'2018/11/05 19:08:59:592',13,0.094488,0.826772,0.17,0.4,0.35
3206,'2018/11/05 19:08:59:612',13,0.094488,0.826772,0.17,0.4,0.35
3207,'2018/11/05 19:08:59:632',13,0.094488,0.826772,0.17,0.4,0.35
3208,'2018/11/05 19:08:59:652',13,0.094488,0.826772,0.17,0.4,0.35
3209,'2018/11/05 19:08:59:672',13,0.094488,0.826772,0.17,0.4,0.35
3210,'2018/11/05 19:08:59:692',13,0.094488,0.826772,0.17,0.4,0.35
3211,'2018/11/05 19:08:59:712',13,0.094488,0.826772,0.17,0.4,0.35
3212,'2018/11/05 19:08:59:732',13,0.094488,0.826772,0.17,0.4,0.35
3213,'2018/11/05 19:08:59:752',13,0.094488,0.826772,0.17,0.4,0.35
3214,'2018/11/05 19:08:59:772',13,0.094488,0.826772,0.17,0.4,0.35
3215,'2018/11/05 19:08:59:792',13,0.094488,0.826772,0.17,0.4,0.35
3216,'2018/11/05 19:08:59:812',13,0.094488,0.826772,0.17,0.4,0.35
3217,'2018/11/05 19:08:59:832',13,0.094488,0.826772,0.17,0.4,0.35
3218,'2018/11/05 19:08:59:852',13,0.094488,0.826772,0.17,0.4,0.35
3219,'2018/11/05 19:08:59:872',13,0.094488,0.826772,0.17,0.4,0.35
3220,'2018/11/05 19:08:59:892',13,0.094488,0.826772,0.17,0.4,0.35
3221,'2018/11/05 19:08:59:912',13,0.094488,0.826772,0.17,0.4,0.35
3222,'2018/11/05 19:08:59:932',13,0.094488,0.826772,0.17,0.4,0.35
3223,'2018/11/05 19:08:59:952',13,0.094488,0.826772,0.17,0.4,0.35
