@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
50,'2018/11/05 19:17:35:637',1,0.005591,0.01348,0.019659,0.015253,0.006248,0.003325,0.00397,0.004417,0.002977,0.002851,0.002057,0.001763,0.001437,0.001937,0.001355,0.000618,0.000561,0.00061,0.000529,0.000305,0.000302,0.00026,0.000219,0.000276,0.000181,1
51,'2018/11/05 19:17:35:648',1,0.002798,0.012131,0.016058,0.011893,0.008653,0.004752,0.004443,0.003566,0.003436,0.003297,0.002381,0.002532,0.001682,0.001605,0.001461,0.000729,0.000546,0.000653,0.000457,0.000363,0.000351,0.000279,0.000219,0.00025,0.000182,1
52,'2018/11/05 19:17:35:660',1,0.002364,0.013394,0.01526,0.009613,0.007262,0.004412,0.006045,0.005324,0.001994,0.003208,0.002557,0.002122,0.001793,0.001786,0.001472,0.000633,0.000719,0.000581,0.000462,0.000342,0.000323,0.000306,0.000233,0.000267,0.000177,1
53,'2018/11/05 19:17:35:671',1,0.003665,0.012032,0.013027,0.009639,0.003197,0.003536,0.004179,0.00509,0.003995,0.003322,0.002665,0.002168,0.002004,0.001495,0.001105,0.00065,0.000716,0.000537,0.000452,0.000286,0.000243,0.000278,0.000212,0.00026,0.000174,1
54,'2018/11/05 19:17:35:683',1,0.004736,0.010499,0.012231,0.012555,0.005019,0.003857,0.004054,0.003344,0.00383,0.002177,0.002028,0.001944,0.001923,0.001354,0.001077,0.000754,0.000691,0.000411,0.000441,0.000331,0.000288,0.000237,0.000226,0.000215,0.000153,1
55,'2018/11/05 19:17:35:695',1,0.005379,0.015738,0.011536,0.008562,0.008326,0.007764,0.005572,0.002981,0.002673,0.002061,0.001439,0.002242,0.001837,0.0011,0.001175,0.00088,0.000774,0.000571,0.000474,0.000365,0.000267,0.000259,0.000262,0.000255,0.000149,1
56,'2018/11/05 19:17:35:706',1,0.001388,0.005906,0.011899,0.007862,0.004541,0.00293,0.004379,0.001785,0.002951,0.002444,0.002276,0.001796,0.0014,0.001742,0.001182,0.000673,0.000698,0.000549,0.000515,0.000312,0.000271,0.000248,0.000253,0.000274,0.00016,1
57,'2018/11/05 19:17:35:718',1,0.000826,0.006818,0.00763,0.012627,0.003865,0.002687,0.004579,0.002331,0.002879,0.00291,0.0022,0.001905,0.001327,0.00186,0.000974,0.000543,0.000606,0.000431,0.000462,0.00036,0.000243,0.000236,0.000214,0.00029,0.000165,1
58,'2018/11/05 19:17:35:729',1,0.001348,0.00619,0.009139,0.012234,0.007125,0.005547,0.005189,0.002493,0.001922,0.003765,0.002526,0.002765,0.001267,0.00108,0.001077,0.000544,0.000713,0.000549,0.00043,0.000285,0.000285,0.000207,0.000247,0.000294,0.000144,1
59,'2018/11/05 19:17:35:742',1,0.006284,0.011048,0.01164,0.010456,0.006446,0.004628,0.007251,0.003486,0.003555,0.003616,0.002477,0.001757,0.001275,0.00106,0.000854,0.00099,0.000807,0.000495,0.000353,0.000314,0.000306,0.000237,0.000264,0.000274,0.000138,1
60,'2018/11/05 19:17:35:752',1,0.005797,0.016309,0.01527,0.006785,0.006069,0.004333,0.005917,0.00341,0.004093,0.002092,0.001707,0.001782,0.00159,0.001342,0.000894,0.000891,0.000477,0.000425,0.00037,0.00033,0.000251,0.00025,0.000256,0.000253,0.000142,1
61,'2018/11/05 19:17:35:764',1,0.001883,0.011512,0.013876,0.006192,0.005208,0.0066,0.004738,0.003128,0.001892,0.002345,0.001604,0.00201,0.001092,0.001606,0.001142,0.000639,0.000452,0.000409,0.000364,0.000355,0.000289,0.000228,0.000238,0.00026,0.000178,1
62,'2018/11/05 19:17:35:776',1,0.003283,0.007451,0.011901,0.008899,0.00394,0.004758,0.004401,0.00326,0.002245,0.002055,0.002084,0.001318,0.001181,0.001299,0.001039,0.000604,0.000767,0.000368,0.000419,0.000297,0.000328,0.000244,0.000253,0.00027,0.00018,1
63,'2018/11/05 19:17:35:787',1,0.004302,0.0109,0.015269,0.005138,0.003965,0.005778,0.004781,0.00238,0.002274,0.003111,0.001689,0.001363,0.001869,0.001808,0.001216,0.000614,0.000597,0.000487,0.000381,0.000244,0.000324,0.000249,0.000222,0.000266,0.000169,1
64,'2018/11/05 19:17:35:799',1,0.005635,0.022781,0.017868,0.004309,0.005809,0.005563,0.003367,0.001997,0.00176,0.001934,0.001449,0.001604,0.001593,0.001351,0.001179,0.000681,0.000562,0.000519,0.000414,0.000348,0.000296,0.000245,0.000229,0.00025,0.000165,1
